,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
12,JAFAR,"  Now, remember!  Bring me the lamp.  The rest of the
        treasure is yours, but the lamp is mine!

(GAZEEM starts to approach the lion's mouth, which forms the
    entrance to the cave.  He chuckles as he goes.)

",94,"(GAZEEM starts to approach the lion's mouth, which forms the
    entrance to the cave.  He chuckles as he goes.)","  Now, remember!  Bring me the lamp.  The rest of the
        treasure is yours, but the lamp is mine!

(GAZEEM starts to approach the lion's mouth, which forms the
    entrance to the cave.  He chuckles as he goes.)

",rememb bring lamp rest treasur lamp mine gazeem start approach lion mouth form entranc cave chuckl goe,gazeem start approach lion mouth form entranc cave chuckl goe
13,IAGO,"   Awk, the lamp!  Awk,  the lamp!  (Now that IAGO and
    JAFAR are alone, IAGO opens up in normal English.)
    Jeez, where'd ya dig this bozo up?

(JAFAR puts his finger to his lips and shushes him.  GAZEEM reaches
    the cave, but is blown away by the roar of the cave's speaking.)

",100,"(Now that IAGO and
    JAFAR are alone, IAGO opens up in normal English.)","   Awk, the lamp!  Awk,  the lamp!  (Now that IAGO and
    JAFAR are alone, IAGO opens up in normal English.)
    Jeez, where'd ya dig this bozo up?

(JAFAR puts his finger to his lips and shushes him.  GAZEEM reaches
    the cave, but is blown away by the roar of the cave's speaking.)

",awk lamp awk lamp iago jafar alon iago open normal english jeez ya dig bozo jafar put finger lip shush gazeem reach cave blown away roar cave speak,iago jafar alon iago open normal english
14,CAVE,"       Who disturbs my slumber?
",107,,       Who disturbs my slumber? ,disturb slumber,
15,GAZEEM," It is I, Gazeem, a humble thief.
",108,," It is I, Gazeem, a humble thief. ",gazeem humbl thief,
16,CAVE,"       Know this.  Only one may enter here.  One whose
        worth lies far within.  A diamond in the rough.

(GAZEEM turns to JAFAR with a questioning look.)

",109,(GAZEEM turns to JAFAR with a questioning look.),"       Know this.  Only one may enter here.  One whose
        worth lies far within.  A diamond in the rough.

 

",know one may enter one whose worth lie far within diamond rough gazeem turn jafar question look,gazeem turn jafar question look
17,JAFAR,"  What are you waiting for?  Go on!

(GAZEEM hesitates, then moves one foot inside the cave.  With
    great apprehension, he plants his foot down.  Nothing happens.
      Relieved, he begins his trek again.  Then another roar comes.
     He turns back, but the lion's mouth slams shut and the dune
    collapses back to normal.  All that are left are JAFAR, IAGO,
     and the two separated halves of the medallion.)

",114,"(GAZEEM hesitates, then moves one foot inside the cave.  With
    great apprehension, he plants his foot down.  Nothing happens.
      Relieved, he begins his trek again.  Then another roar comes.
     He turns back, but the lion's mouth slams shut and the dune
    collapses back to normal.  All that are left are JAFAR, IAGO,
     and the two separated halves of the medallion.)","  What are you waiting for?  Go on!

(GAZEEM hesitates, then moves one foot inside the cave.  With
    great apprehension, he plants his foot down.  Nothing happens.
      Relieved, he begins his trek again.  Then another roar comes.
     He turns back, but the lion's mouth slams shut and the dune
    collapses back to normal.  All that are left are JAFAR, IAGO,
     and the two separated halves of the medallion.)

",wait go gazeem hesit move one foot insid cave great apprehens plant foot noth happen reliev begin trek anoth roar come turn back lion mouth slam shut dune collaps back normal left jafar iago two separ halv medallion,gazeem hesit move one foot insid cave great apprehens plant foot noth happen reliev begin trek anoth roar come turn back lion mouth slam shut dune collaps back normal left jafar iago two separ halv medallion
18,CAVE,"       Seek thee out, the diamond in the rough.

(IAGO unburied himself from the sand, coughing as he does so.)

",123,"(IAGO unburied himself from the sand, coughing as he does so.)","       Seek thee out, the diamond in the rough.

 

",seek thee diamond rough iago unburi sand cough,iago unburi sand cough
19,IAGO,"       I can't believe it.  I just don't believe it. We're
        never gonna get a hold of that stupid lamp!  Just
        forget it.  Look at this.  Look at this.  I'm so
        ticked off that I'm molting!  (He flies up to
        JAFAR's shoulder.)
",127,"(He flies up to
        JAFAR's shoulder.)","       I can't believe it.  I just don't believe it. We're
        never gonna get a hold of that stupid lamp!  Just
        forget it.  Look at this.  Look at this.  I'm so
        ticked off that I'm molting!  (He flies up to
        JAFAR's shoulder.)
",believ believ never gonna get hold stupid lamp forget look look tick molt fli jafar shoulder,fli jafar shoulder
20,JAFAR,"  Patience, Iago.  Patience.  Gazeem was obviously
        less than worthy.
",132,,"  Patience, Iago.  Patience.  Gazeem was obviously         less than worthy. ",patienc iago patienc gazeem obvious less worthi,
21,IAGO,"       (Extremely sarcastically) Oh, there's a big
        surprise.  That's an incred--I think I'm gonna have
        a heart attack and die from not surprise!  What're
        we gonna do?  We got a big problem here,a big prob-
        (JAFAR pinches his beak shut.)
",134,(Extremely sarcastically),"         Oh, there's a big
        surprise.  That's an incred--I think I'm gonna have
        a heart attack and die from not surprise!  What're
        we gonna do?  We got a big problem here,a big prob-
        (JAFAR pinches his beak shut.)
",extrem sarcast oh big surpris incr think gonna heart attack die not surpris gonna got big problem big prob jafar pinch beak shut,extrem sarcast
22,JAFAR,"  Yes, we do.  Only one may enter.  I must find this
        one, this...diamond in the rough.

(Cut to a rooftop, where ALADDIN rushes up to the edge, carrying
    a loaf of bread.  He almost drops it over the edge.)

",139,"(Cut to a rooftop, where ALADDIN rushes up to the edge, carrying
    a loaf of bread.  He almost drops it over the edge.)","  Yes, we do.  Only one may enter.  I must find this
        one, this...diamond in the rough.

(Cut to a rooftop, where ALADDIN rushes up to the edge, carrying
    a loaf of bread.  He almost drops it over the edge.)

",ye one may enter must find one diamond rough cut rooftop aladdin rush edg carri loaf bread almost drop edg,cut rooftop aladdin rush edg carri loaf bread almost drop edg
23,GUARD,"  Stop, thief!  I'll have your hands for a trophy,
        street rat!
",145,,"  Stop, thief!  I'll have your hands for a trophy,         street rat! ",stop thief hand trophi street rat,
24,ALADDIN,"    (Looks back, then down, then at the bread.)  All
        this for a loaf of bread?

(He jumps off, landing on two ropes strung between buildings, with
    drying clothes on them.  He skies down them, collecting bits
    and pieces of clothing on him as he goes.  Finally, he's
    nearing the end of the rope, at a window, when a woman reaches
     out and slams the shutters closed.  ALADDIN slams into the
    shutters and falls to the street, his fall being broken by
    numerous awnings and the pile of clothes around him.  He pulls
     off the top layer of clothes and is about to enjoy his bread
    when...)

",147,"(Looks back, then down, then at the bread.)","       All
        this for a loaf of bread?

(He jumps off, landing on two ropes strung between buildings, with
    drying clothes on them.  He skies down them, collecting bits
    and pieces of clothing on him as he goes.  Finally, he's
    nearing the end of the rope, at a window, when a woman reaches
     out and slams the shutters closed.  ALADDIN slams into the
    shutters and falls to the street, his fall being broken by
    numerous awnings and the pile of clothes around him.  He pulls
     off the top layer of clothes and is about to enjoy his bread
    when...)

",look back bread loaf bread jump land two rope strung build dri cloth sky collect bit piec cloth goe final near end rope window woman reach slam shutter close aladdin slam shutter fall street fall broken numer awn pile cloth around pull top layer cloth enjoy bread,look back bread
25,GUARD 1,"    There he is!
",160,,    There he is! ,,
26,GUARD 2,"    You won't get away so easy!
",161,,    You won't get away so easy! ,get away easi,
27,ALADDIN,"    You think that was easy?

(He looks at three women, laughing at him.)

",162,"(He looks at three women, laughing at him.)","    You think that was easy?

 

",think easi look three women laugh,look three women laugh
28,GUARD 1,"    You two, over that way, and you, with me.  We'll
        find him.

(ALADDIN pulls a sheet over him and wraps himself as a disguise.
    He rushes over to the women.)

",166,"(ALADDIN pulls a sheet over him and wraps himself as a disguise.
    He rushes over to the women.)","    You two, over that way, and you, with me.  We'll
        find him.

(ALADDIN pulls a sheet over him and wraps himself as a disguise.
    He rushes over to the women.)

",two way find aladdin pull sheet wrap disguis rush women,aladdin pull sheet wrap disguis rush women
29,ALADDIN,"    Morning, ladies.
",172,,"    Morning, ladies. ",morn ladi,
30,WOMAN 1,"    Getting into trouble a little early today, aren't
        we Aladdin?
",173,,"    Getting into trouble a little early today, aren't         we Aladdin? ",get troubl littl earli today aladdin,
31,ALADDIN,"    Trouble?  No way.  You're only in trouble if you
        get caught--

(A hand grabs ALADDIN's shoulder and yanks him back.  It's the
    first GUARD.  ALADDIN's disguise falls off.)

",175,"(A hand grabs ALADDIN's shoulder and yanks him back.  It's the
    first GUARD.  ALADDIN's disguise falls off.)","    Trouble?  No way.  You're only in trouble if you
        get caught--

(A hand grabs ALADDIN's shoulder and yanks him back.  It's the
    first GUARD.  ALADDIN's disguise falls off.)

",troubl way troubl get caught hand grab aladdin shoulder yank back first guard aladdin disguis fall,hand grab aladdin shoulder yank back first guard aladdin disguis fall
32,ALADDIN,"    I'm in trouble!
",181,,    I'm in trouble! ,troubl,
33,GUARD,"  ...and this time--(A screeching sound from ABU,
        then the guard's turban is pulled down over his
        eyes.  ABU dances on the GUARD's head, laughing.)
",182,"(A screeching sound from ABU,
        then the guard's turban is pulled down over his
        eyes.  ABU dances on the GUARD's head, laughing.)","  ...and this time--(A screeching sound from ABU,
        then the guard's turban is pulled down over his
        eyes.  ABU dances on the GUARD's head, laughing.)
",time screech sound abu guard turban pull eye abu danc guard head laugh,screech sound abu guard turban pull eye abu danc guard head laugh
34,ALADDIN,"    Perfect timing, Abu!
",185,,"    Perfect timing, Abu! ",perfect time abu,
35,ABU,"        Hello!
",186,,        Hello! ,hello,
36,ALADDIN,"    Come on, let's get outta here!
        Gotta keep...one jump ahead of the breadline
        One swing ahead of the sword
        I steal only what I can't afford
        That's everything!

(ALADDIN battles a GUARD wielding a sword.  He dodges a couple of
    swings, then pulls down the GUARD's pants.  ABU raspberries the
    GUARD, then dodges an attack.  The GUARD swings at ALADDIN,
    but destroys a barrel of fish.  As ALADDIN runs off, the GUARD
     pulls a fish over his lower body as a pair of pants.)

        One jump ahead of the lawmen
        That's all, and that's no joke
        These guys don't appreciate I'm broke!

(ALADDIN and ABU scamper up a pile of barrels, then kick one down
    on top of another GUARD.)

",187,"(ALADDIN battles a GUARD wielding a sword.  He dodges a couple of
    swings, then pulls down the GUARD's pants.  ABU raspberries the
    GUARD, then dodges an attack.  The GUARD swings at ALADDIN,
    but destroys a barrel of fish.  As ALADDIN runs off, the GUARD
     pulls a fish over his lower body as a pair of pants.)","    Come on, let's get outta here!
        Gotta keep...one jump ahead of the breadline
        One swing ahead of the sword
        I steal only what I can't afford
        That's everything!

(ALADDIN battles a GUARD wielding a sword.  He dodges a couple of
    swings, then pulls down the GUARD's pants.  ABU raspberries the
    GUARD, then dodges an attack.  The GUARD swings at ALADDIN,
    but destroys a barrel of fish.  As ALADDIN runs off, the GUARD
     pulls a fish over his lower body as a pair of pants.)

        One jump ahead of the lawmen
        That's all, and that's no joke
        These guys don't appreciate I'm broke!

(ALADDIN and ABU scamper up a pile of barrels, then kick one down
    on top of another GUARD.)

",come let get outta gotta keep one jump ahead breadlin one swing ahead sword steal afford everyth aladdin battl guard wield sword dodg coupl swing pull guard pant abu raspberri guard dodg attack guard swing aladdin destroy barrel fish aladdin run guard pull fish lower bodi pair pant one jump ahead lawmen joke guy appreci broke aladdin abu scamper pile barrel kick one top anoth guard,aladdin battl guard wield sword dodg coupl swing pull guard pant abu raspberri guard dodg attack guard swing aladdin destroy barrel fish aladdin run guard pull fish lower bodi pair pant
37,GUARDS," (one at a time) Riffraff! Street rat!
        Scoundrel! Take that!
",206,(one at a time),"   Riffraff! Street rat!
        Scoundrel! Take that!
",one time riffraff street rat scoundrel take,one time
38,ALADDIN,"    Just a little snack, guys!

(ALADDIN scampers to the top of a platform. The GUARDS shake the
    platform back and fro trying to knock him off.)

",208,"(ALADDIN scampers to the top of a platform. The GUARDS shake the
    platform back and fro trying to knock him off.)","    Just a little snack, guys!

(ALADDIN scampers to the top of a platform. The GUARDS shake the
    platform back and fro trying to knock him off.)

",littl snack guy aladdin scamper top platform guard shake platform back fro tri knock,aladdin scamper top platform guard shake platform back fro tri knock
39,GUARDS," Rip him open, take it back guys!
",213,," Rip him open, take it back guys! ",rip open take back guy,
40,ALADDIN,"    I can take a hint, gotta face the facts
        You're my only friend, Abu!
",214,,"    I can take a hint, gotta face the facts         You're my only friend, Abu! ",take hint gotta face fact friend abu,
41,WOMEN,"  Who?!?

(ALADDIN jumps off the platform to certain death, only to grab ABU's
    hands like an acrobat.  The pair swing into a harem.)

        Oh, it's sad Aladdin's hit the bottom
        He's become a one-man rise in crime

(ABU finds a plate full of fruit and stuffs his mouth full like a
    chipmunk.)

",216,"(ALADDIN jumps off the platform to certain death, only to grab ABU's
    hands like an acrobat.  The pair swing into a harem.)","  Who?!?

(ALADDIN jumps off the platform to certain death, only to grab ABU's
    hands like an acrobat.  The pair swing into a harem.)

        Oh, it's sad Aladdin's hit the bottom
        He's become a one-man rise in crime

(ABU finds a plate full of fruit and stuffs his mouth full like a
    chipmunk.)

",aladdin jump platform certain death grab abu hand like acrobat pair swing harem oh sad aladdin hit bottom becom one man rise crime abu find plate full fruit stuff mouth full like chipmunk,aladdin jump platform certain death grab abu hand like acrobat pair swing harem
42,WOMAN,"  I'd blame parents, except he hasn't got 'em!
",227,,"  I'd blame parents, except he hasn't got 'em! ",blame parent except got em,
43,ALADDIN,"    Gotta eat to live, gotta steal to eat
        Tell you all about it when I got the time!

(ALADDIN and ABU exit.  Cut to MUSCLEMAN flexing to a crowd.  The
    GUARDS rush past.  Cut to ALADDIN and ABU behind the MUSCLEMAN,
     matching his moves, until they make a mistake and are discovered.)

        One jump ahead of the slowpokes
        One skip ahead of my doom
        Next time gonna use a nom de plume.
        One jump ahead of the hitmen
        One hit ahead of the flock
        I think I'll take a stroll around the block.

(A chase sequence, in which ALADDIN and ABU, pursued by the GUARDS,
    race through a flock of sheep, hurdle a MAN sleeping on a bed of
    nails {of course one extremely large GUARD lands on him}.  ABU
     disguises himself with jewels until a SHOPKEEPER discovers him.

",228,"(ALADDIN and ABU exit.  Cut to MUSCLEMAN flexing to a crowd.  The
    GUARDS rush past.  Cut to ALADDIN and ABU behind the MUSCLEMAN,
     matching his moves, until they make a mistake and are discovered.)","    Gotta eat to live, gotta steal to eat
        Tell you all about it when I got the time!

(ALADDIN and ABU exit.  Cut to MUSCLEMAN flexing to a crowd.  The
    GUARDS rush past.  Cut to ALADDIN and ABU behind the MUSCLEMAN,
     matching his moves, until they make a mistake and are discovered.)

        One jump ahead of the slowpokes
        One skip ahead of my doom
        Next time gonna use a nom de plume.
        One jump ahead of the hitmen
        One hit ahead of the flock
        I think I'll take a stroll around the block.

(A chase sequence, in which ALADDIN and ABU, pursued by the GUARDS,
    race through a flock of sheep, hurdle a MAN sleeping on a bed of
    nails {of course one extremely large GUARD lands on him}.  ABU
     disguises himself with jewels until a SHOPKEEPER discovers him.

",gotta eat live gotta steal eat tell got time aladdin abu exit cut muscleman flex crowd guard rush past cut aladdin abu behind muscleman match move make mistak discov one jump ahead slowpok one skip ahead doom next time gonna use nom de plume one jump ahead hitmen one hit ahead flock think take stroll around block chase sequenc aladdin abu pursu guard race flock sheep hurdl man sleep bed nail cours one extrem larg guard land abu disguis jewel shopkeep discov,aladdin abu exit cut muscleman flex crowd guard rush past cut aladdin abu behind muscleman match move make mistak discov
44,CROWD,"  Stop, thief! Vandal!
        Outrage! Scandal!
",247,,"  Stop, thief! Vandal!         Outrage! Scandal! ",stop thief vandal outrag scandal,
45,ALADDIN,"    Let's not be too hasty

(ALADDIN is surrounded by GUARDS in front of a door. The door opens
    and a large, ugly LADY comes out.)

",249,"(ALADDIN is surrounded by GUARDS in front of a door. The door opens
    and a large, ugly LADY comes out.)","    Let's not be too hasty

(ALADDIN is surrounded by GUARDS in front of a door. The door opens
    and a large, ugly LADY comes out.)

",let not hasti aladdin surround guard front door door open larg ugli ladi come,aladdin surround guard front door door open larg ugli ladi come
46,LADY,"   Still I think he's rather tasty

(ALADDIN tumbles away, then puts his arm around a GUARD, acting
    like they're all chums.)

",254,"(ALADDIN tumbles away, then puts his arm around a GUARD, acting
    like they're all chums.)","   Still I think he's rather tasty

(ALADDIN tumbles away, then puts his arm around a GUARD, acting
    like they're all chums.)

",still think rather tasti aladdin tumbl away put arm around guard act like chum,aladdin tumbl away put arm around guard act like chum
47,ALADDIN,"    Gotta eat to live, gotta steal to eat
        Otherwise we'd get along!
",259,,"    Gotta eat to live, gotta steal to eat         Otherwise we'd get along! ",gotta eat live gotta steal eat otherwis get along,
48,GUARDS," WRONG!

(They all jump into a pile and fight.  When they stop, ALADDIN and
    ABU are gone.  They are sneaking away in barrels.  They run
    across a flaming pit, followed by GUARDS who hop up and down,
    screaming in pain as they cross the rocks.  ALADDIN and ABU
    pass a SWORD SWALLOWER, then ABU goes back, pulls the sword
    out of the SWALLOWER's mouth.  ABU advances on the guards,
    who retreat in fear.)

",261,"(They all jump into a pile and fight.  When they stop, ALADDIN and
    ABU are gone.  They are sneaking away in barrels.  They run
    across a flaming pit, followed by GUARDS who hop up and down,
    screaming in pain as they cross the rocks.  ALADDIN and ABU
    pass a SWORD SWALLOWER, then ABU goes back, pulls the sword
    out of the SWALLOWER's mouth.  ABU advances on the guards,
    who retreat in fear.)"," WRONG!

(They all jump into a pile and fight.  When they stop, ALADDIN and
    ABU are gone.  They are sneaking away in barrels.  They run
    across a flaming pit, followed by GUARDS who hop up and down,
    screaming in pain as they cross the rocks.  ALADDIN and ABU
    pass a SWORD SWALLOWER, then ABU goes back, pulls the sword
    out of the SWALLOWER's mouth.  ABU advances on the guards,
    who retreat in fear.)

",wrong jump pile fight stop aladdin abu gone sneak away barrel run across flame pit follow guard hop scream pain cross rock aladdin abu pass sword swallow abu goe back pull sword swallow mouth abu advanc guard retreat fear,jump pile fight stop aladdin abu gone sneak away barrel run across flame pit follow guard hop scream pain cross rock aladdin abu pass sword swallow abu goe back pull sword swallow mouth abu advanc guard retreat fear
49,GUARD 1,"    He's got a sword!
",271,,    He's got a sword! ,got sword,
50,GUARD 2,"    You idiot--we've ALL got swords!!

(ABU sets the sword down gently, then runs.  ALADDIN and ABU are
    once again surrounded, with GUARDS coming from left and right.
      He jumps up and climbs a robe trick being done on the street,
     as the GUARDS all crash into each other.)

",272,"(ABU sets the sword down gently, then runs.  ALADDIN and ABU are
    once again surrounded, with GUARDS coming from left and right.
      He jumps up and climbs a robe trick being done on the street,
     as the GUARDS all crash into each other.)","    You idiot--we've ALL got swords!!

(ABU sets the sword down gently, then runs.  ALADDIN and ABU are
    once again surrounded, with GUARDS coming from left and right.
      He jumps up and climbs a robe trick being done on the street,
     as the GUARDS all crash into each other.)

",idiot got sword abu set sword gentli run aladdin abu surround guard come left right jump climb robe trick done street guard crash,abu set sword gentli run aladdin abu surround guard come left right jump climb robe trick done street guard crash
51,ALADDIN,"    One jump ahead of the hoofbeats!
",279,,    One jump ahead of the hoofbeats! ,one jump ahead hoofbeat,
52,CROWD,"  Vandal!
",280,,  Vandal! ,vandal,
53,ALADDIN,"    One hop ahead of the hump!
",281,,    One hop ahead of the hump! ,one hop ahead hump,
54,CROWD,"  Street rat!
",282,,  Street rat! ,street rat,
55,ALADDIN,"    One trick ahead of disaster
",283,,    One trick ahead of disaster ,one trick ahead disast,
56,CROWD,"  Scoundrel!
",284,,  Scoundrel! ,scoundrel,
57,ALADDIN,"    They're quick--but I'm much faster
",285,,    They're quick--but I'm much faster ,quick much faster,
