,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
34,Archdeacon,"    NOW YOU WOULD ADD THIS CHILD'S BLOOD TO YOUR GUILT
               ON THE STEPS OF NOTRE DAME.

",138,,    NOW YOU WOULD ADD THIS CHILD'S BLOOD TO YOUR GUILT                ON THE STEPS OF NOTRE DAME.  ,would add child blood guilt step notr dame,
35,Clopin,"        My conscience is clear!

",141,,        My conscience is clear!  ,conscienc clear,
36,Archdeacon,"    YOU CAN LIE TO YOURSELF AND YOUR MINIONS
               YOU CAN CLAIM THAT YOU HAVEN'T A QUALM
               BUT YOU NEVER CAN RUN FROM,
               NOR HIDE WHAT YOU'VE DONE
               FROM THE EYES
               THE VERY EYES OF NOTRE DAME!

",143,,"    YOU CAN LIE TO YOURSELF AND YOUR MINIONS                YOU CAN CLAIM THAT YOU HAVEN'T A QUALM                BUT YOU NEVER CAN RUN FROM,                NOR HIDE WHAT YOU'VE DONE                FROM THE EYES                THE VERY EYES OF NOTRE DAME!  ",lie minion claim qualm never run hide done eye eye notr dame,
37,Clopin,"        AND FOR ONE TIME IN HIS LIFE OF POWER AND CONTROL
               FROLLO FELT A TWINGE OF FEAR FOR HIS IMMORTAL SOUL

",150,,        AND FOR ONE TIME IN HIS LIFE OF POWER AND CONTROL                FROLLO FELT A TWINGE OF FEAR FOR HIS IMMORTAL SOUL  ,one time life power control frollo felt twing fear immort soul,
38,Frollo,"        What must I do?

",153,,        What must I do?  ,must,
39,Archdeacon,"    Care for the child, raise it as your own.

",155,,"    Care for the child, raise it as your own.  ",care child rais,
40,Frollo,"        What?  I'm to be saddled with this misshapen--

(He pauses as a thought creeps across his face.)

",157,(He pauses as a thought creeps across his face.),"        What?  I'm to be saddled with this misshapen--

 

",saddl misshapen paus thought creep across face,paus thought creep across face
41,Frollo,"        Very well.  Let him live with you, in your church.

",161,,"        Very well.  Let him live with you, in your church.  ",well let live church,
42,Archdeacon,"    Live here?  But where?

",163,,    Live here?  But where?  ,live,
43,Frollo,"        Anywhere.

               JUST SO HE'S KEPT LOCKED AWAY WHERE NO ONE ELSE CAN SEE.

               The bell tower, perhaps.  And who knows--our Lord works
               in mysterious ways.

               EVEN THIS FOUL CREATURE MAY YET PROVE ONE DAY TO BE
               OF USE TO ME.

",165,,"        Anywhere.                 JUST SO HE'S KEPT LOCKED AWAY WHERE NO ONE ELSE CAN SEE.                 The bell tower, perhaps.  And who knows--our Lord works                in mysterious ways.                 EVEN THIS FOUL CREATURE MAY YET PROVE ONE DAY TO BE                OF USE TO ME.  ",anywher kept lock away one els see bell tower perhap know lord work mysteri way even foul creatur may yet prove one day use,
44,Clopin,"        And Frollo gave the child a cruel name.  A name that
               means half-formed... Quasimodo!

               NOW HERE IS A RIDDLE TO GUESS IF YOU CAN
               SING THE BELLS OF NOTRE DAME.
               WHO IS THE MONSTER AND WHO IS THE MAN?

               SING THE BELLS, BELLS, BELLS, BELLS,
               BELLS, BELLS, BELLS, BELLS,
               BELLS OF NOTRE DAME!

(We have wiped from watching Clopin's puppet show to the actual bells
ringing in the tower, and the back of this mysterious Quasimodo ringing
them.  As we end on a beautiful shot of the bells ringing, and the word
Dame is sung with the cymbal crash, the title ""THE HUNCHBACK OF NOTRE
DAME"" appears on screen.  We fly down to an exterior with the frozen
forms of Victor and Hugo, with a bird's nest in his mouth, on the
balcony.  As Quasimodo comes out, the bird awakens.)

",175,"(We have wiped from watching Clopin's puppet show to the actual bells
ringing in the tower, and the back of this mysterious Quasimodo ringing
them.  As we end on a beautiful shot of the bells ringing, and the word
Dame is sung with the cymbal crash, the title ""THE HUNCHBACK OF NOTRE
DAME"" appears on screen.  We fly down to an exterior with the frozen
forms of Victor and Hugo, with a bird's nest in his mouth, on the
balcony.  As Quasimodo comes out, the bird awakens.)","        And Frollo gave the child a cruel name.  A name that
               means half-formed... Quasimodo!

               NOW HERE IS A RIDDLE TO GUESS IF YOU CAN
               SING THE BELLS OF NOTRE DAME.
               WHO IS THE MONSTER AND WHO IS THE MAN?

               SING THE BELLS, BELLS, BELLS, BELLS,
               BELLS, BELLS, BELLS, BELLS,
               BELLS OF NOTRE DAME!

(We have wiped from watching Clopin's puppet show to the actual bells
ringing in the tower, and the back of this mysterious Quasimodo ringing
them.  As we end on a beautiful shot of the bells ringing, and the word
Dame is sung with the cymbal crash, the title ""THE HUNCHBACK OF NOTRE
DAME"" appears on screen.  We fly down to an exterior with the frozen
forms of Victor and Hugo, with a bird's nest in his mouth, on the
balcony.  As Quasimodo comes out, the bird awakens.)

",frollo gave child cruel name name mean half form quasimodo riddl guess sing bell notr dame monster man sing bell bell bell bell bell bell bell bell bell notr dame wipe watch clopin puppet show actual bell ring tower back mysteri quasimodo ring end beauti shot bell ring word dame sung cymbal crash titl hunchback notr dame appear screen fli exterior frozen form victor hugo bird nest mouth balconi quasimodo come bird awaken,wipe watch clopin puppet show actual bell ring tower back mysteri quasimodo ring end beauti shot bell ring word dame sung cymbal crash titl hunchback notr dame appear screen fli exterior frozen form victor hugo bird nest mouth balconi quasimodo come bird awaken
45,Quasimodo,"     Good morning!

(The bird squeaks its approval.)

",194,(The bird squeaks its approval.),"     Good morning!

 

",good morn bird squeak approv,bird squeak approv
46,Quasimodo,"     Will today be the day?  Are you ready to fly?

(The bird squeaks its disapproval.)

",198,(The bird squeaks its disapproval.),"     Will today be the day?  Are you ready to fly?

 

",today day readi fli bird squeak disapprov,bird squeak disapprov
47,Quasimodo,"     You sure?  Good day to try. Why, if I picked a day to
               fly, oh, this would be it!  The Festival of Fools!  It
               will be fun--the jugglers, and music, and dancing...

(The bird, who had been resting in Quasi's hand, has begun to flap its
wings.  Quasi slowly removes his hands until the bird is hovering in
place.  He chuckles and shows his hands to the bird, who finally
realises that it is flying.  It squeaks an approval, then a question, as
a flock of birds fly by.)

",202,"(The bird, who had been resting in Quasi's hand, has begun to flap its
wings.  Quasi slowly removes his hands until the bird is hovering in
place.  He chuckles and shows his hands to the bird, who finally
realises that it is flying.  It squeaks an approval, then a question, as
a flock of birds fly by.)","     You sure?  Good day to try. Why, if I picked a day to
               fly, oh, this would be it!  The Festival of Fools!  It
               will be fun--the jugglers, and music, and dancing...

(The bird, who had been resting in Quasi's hand, has begun to flap its
wings.  Quasi slowly removes his hands until the bird is hovering in
place.  He chuckles and shows his hands to the bird, who finally
realises that it is flying.  It squeaks an approval, then a question, as
a flock of birds fly by.)

",sure good day tri pick day fli oh would festiv fool fun juggler music danc bird rest quasi hand begun flap wing quasi slowli remov hand bird hover place chuckl show hand bird final realis fli squeak approv question flock bird fli,bird rest quasi hand begun flap wing quasi slowli remov hand bird hover place chuckl show hand bird final realis fli squeak approv question flock bird fli
48,Quasimodo,"     Go on! Nobody wants to be cooped up here forever!

(The bird flies off to join the flock.  As soon as it's gone, Hugo, and
later, Victor, come to life.  Hugo spits out the nest.)

",212,"(The bird flies off to join the flock.  As soon as it's gone, Hugo, and
later, Victor, come to life.  Hugo spits out the nest.)","     Go on! Nobody wants to be cooped up here forever!

(The bird flies off to join the flock.  As soon as it's gone, Hugo, and
later, Victor, come to life.  Hugo spits out the nest.)

",go nobodi want coop forev bird fli join flock soon gone hugo later victor come life hugo spit nest,bird fli join flock soon gone hugo later victor come life hugo spit nest
49,Hugo,"          Oh, man!  I thought he'd never leave!  I'll be spittin'
               feathers for a week!

",217,,"          Oh, man!  I thought he'd never leave!  I'll be spittin'                feathers for a week!  ",oh man thought never leav spittin feather week,
50,Victor,"        Well that's what you get for sleeping with your mouth
               open.

",220,,        Well that's what you get for sleeping with your mouth                open.  ,well get sleep mouth open,
51,Hugo,"          (Sarcastic chuckle) Heh, heh, heh...go scare a nun!
               Hey, Quasi! What's goin' on out there?  A fight?  A
               flogging?

",223,(Sarcastic chuckle),"            Heh, heh, heh...go scare a nun!
               Hey, Quasi! What's goin' on out there?  A fight?  A
               flogging?

",sarcast chuckl heh heh heh go scare nun hey quasi goin fight flog,sarcast chuckl
52,Victor,"        A festival!

",227,,        A festival!  ,festiv,
53,Hugo,"          You mean the Feast of Fools!?!

",229,,          You mean the Feast of Fools!?!  ,mean feast fool,
54,Quasimodo,"     Uh huh!

",231,,     Uh huh!  ,uh huh,
55,Hugo,"          All right, all right!  Pour the wine and cut the cheese!

(Hugo makes farting noises in his armpit.)

",233,(Hugo makes farting noises in his armpit.),"          All right, all right!  Pour the wine and cut the cheese!

 

",right right pour wine cut chees hugo make fart nois armpit,hugo make fart nois armpit
56,Victor,"        It is a treat to watch the colourful pageantry of the
               simple peasantfolk.

",237,,        It is a treat to watch the colourful pageantry of the                simple peasantfolk.  ,treat watch colour pageantri simpl peasantfolk,
57,Hugo,"          Boy, nothin' like balcony seats for watching the ol'
               F.O.F.

",240,,"          Boy, nothin' like balcony seats for watching the ol'                F.O.F.  ",boy nothin like balconi seat watch ol f f,
58,Quasimodo,"     (Dejected) Yeah, watching.

(Quasi turns and leaves, obviously sad.)

",243,(Dejected),"       Yeah, watching.

(Quasi turns and leaves, obviously sad.)

",deject yeah watch quasi turn leav obvious sad,deject
59,Hugo,"          Hey, look--a mime.

(Hugo hocks up a phlegm in his throat, and is about to spit, when Victor
covers his mouth.  Hugo is forced to swallow his prize.  They proceed
inside to Quasimodo.  Laverne catches up to them.)

",247,"(Hugo hocks up a phlegm in his throat, and is about to spit, when Victor
covers his mouth.  Hugo is forced to swallow his prize.  They proceed
inside to Quasimodo.  Laverne catches up to them.)","          Hey, look--a mime.

(Hugo hocks up a phlegm in his throat, and is about to spit, when Victor
covers his mouth.  Hugo is forced to swallow his prize.  They proceed
inside to Quasimodo.  Laverne catches up to them.)

",hey look mime hugo hock phlegm throat spit victor cover mouth hugo forc swallow prize proceed insid quasimodo lavern catch,hugo hock phlegm throat spit victor cover mouth hugo forc swallow prize proceed insid quasimodo lavern catch
60,Hugo,"          Hey, hey, what gives?

",253,,"          Hey, hey, what gives?  ",hey hey give,
61,Victor,"        Aren't you going to watch the festival with us?

",255,,        Aren't you going to watch the festival with us?  ,go watch festiv us,
62,Hugo,"          I don't get it.

",257,,          I don't get it.  ,get,
63,Victor,"        Perhaps he's sick!

",259,,        Perhaps he's sick!  ,perhap sick,
64,Laverne,"       Impossible.  If 20 years of listening to you two hasn't
               made him sick by now, nothing will.

",261,,"       Impossible.  If 20 years of listening to you two hasn't                made him sick by now, nothing will.  ",imposs year listen two made sick noth,
65,Victor,"        But watching the Festival of Fools has always been the
               highlight of the year for Quasimodo.

",264,,        But watching the Festival of Fools has always been the                highlight of the year for Quasimodo.  ,watch festiv fool alway highlight year quasimodo,
66,Laverne,"       What good is watching the party if you never get to go
               hear it?  (Birds have begun to roost on Laverne.  She
               waves them away.)  Get away from me, go on, you bunch of
               buzzards!  He's not made of stone, like us.

(Laverne goes to Quasi, who is at his table with a model of the city and
small toys painted like townspeople.)

",267,"(Birds have begun to roost on Laverne.  She
               waves them away.)","       What good is watching the party if you never get to go
               hear it?  (Birds have begun to roost on Laverne.  She
               waves them away.)  Get away from me, go on, you bunch of
               buzzards!  He's not made of stone, like us.

(Laverne goes to Quasi, who is at his table with a model of the city and
small toys painted like townspeople.)

",good watch parti never get go hear bird begun roost lavern wave away get away go bunch buzzard not made stone like us lavern goe quasi tabl model citi small toy paint like townspeopl,bird begun roost lavern wave away
67,Laverne,"       Quasi, what's wrong?  You wanna tell ol' Laverne all
               about it?

",275,,"       Quasi, what's wrong?  You wanna tell ol' Laverne all                about it?  ",quasi wrong wanna tell ol lavern,
68,Quasimodo,"     I...I just don't feel like watching the festival, that's
               all.

",278,,"     I...I just don't feel like watching the festival, that's                all.  ",feel like watch festiv,
69,Laverne,"       Well, did you ever think about going there instead?

",281,,"       Well, did you ever think about going there instead?  ",well ever think go instead,
70,Victor,"        Sure!

",283,,        Sure!  ,sure,
71,Quasimodo,"     I'd never fit in down there. I'm not...normal.

",285,,     I'd never fit in down there. I'm not...normal.  ,never fit not normal,
72,Laverne,"       Oh, Quasi, Quasi, Quasi.  (She pauses as the birds have
               returned to perch on her again.) (To birds:) Do you mind?
               returned to perch on her again.) (To birds:) Do you mind?
               I'm would like to have a moment with the boy, if it's
               all right with you!

",287,"(She pauses as the birds have
               returned to perch on her again.)","       Oh, Quasi, Quasi, Quasi.  (She pauses as the birds have
               returned to perch on her again.) (To birds:) Do you mind?
               returned to perch on her again.) (To birds:) Do you mind?
               I'm would like to have a moment with the boy, if it's
               all right with you!

",oh quasi quasi quasi paus bird return perch bird mind return perch bird mind would like moment boy right,paus bird return perch
73,Hugo,"          (To Quasi               Whadda we gotta do?  Paint you a fresco?

",292,,          (To Quasi               Whadda we gotta do?  Paint you a fresco?  ,quasi whadda gotta paint fresco,
74,Victor,"        As your friends and guardians, we insist you attend the
               festival.

",295,,"        As your friends and guardians, we insist you attend the                festival.  ",friend guardian insist attend festiv,
75,Quasimodo,"     Me?!?

(Enter Hugo, with a figurine of a Pope, from Quasi's tabletop scene.)

",298,"(Enter Hugo, with a figurine of a Pope, from Quasi's tabletop scene.)","     Me?!?

 

",enter hugo figurin pope quasi tabletop scene,enter hugo figurin pope quasi tabletop scene
76,Hugo,"          No, the Pope. Of course, you!

(Victor shoves the Pope figurine in Quasi's mouth.)

",302,(Victor shoves the Pope figurine in Quasi's mouth.),"          No, the Pope. Of course, you!

 

",pope cours victor shove pope figurin quasi mouth,victor shove pope figurin quasi mouth
77,Victor,"        It would be a veritable pope-pourri of educational
               experience.

(Hugo pulls the figurine out of Quasi's mouth.)

",306,(Hugo pulls the figurine out of Quasi's mouth.),"        It would be a veritable pope-pourri of educational
               experience.

 

",would verit pope pourri educ experi hugo pull figurin quasi mouth,hugo pull figurin quasi mouth
78,Hugo,"          Wine, women and song!

",311,,"          Wine, women and song!  ",wine women song,
79,Victor,"        You can learn to identify various regional cheeses!

",313,,        You can learn to identify various regional cheeses!  ,learn identifi variou region chees,
80,Hugo,"          Bobbing for snails!

",315,,          Bobbing for snails!  ,bob snail,
81,Victor,"        And the indigenous folk music.

",317,,        And the indigenous folk music.  ,indigen folk music,
82,Hugo,"          Dunk the monk!

",319,,          Dunk the monk!  ,dunk monk,
83,Laverne,"       Quasi, take it from an old spectator.  Life's not a
               spectator sport.  If watchin's all you're gonna do, then
               you're gonna watch your life go by without you.

",321,,"       Quasi, take it from an old spectator.  Life's not a                spectator sport.  If watchin's all you're gonna do, then                you're gonna watch your life go by without you.  ",quasi take old spectat life not spectat sport watchin gonna gonna watch life go without,
84,Hugo,"          Yeah, you're human, with the flesh, and the hair, and the
               navel lint.  We're just part of the architecture, right
               Victor?

",325,,"          Yeah, you're human, with the flesh, and the hair, and the                navel lint.  We're just part of the architecture, right                Victor?  ",yeah human flesh hair navel lint part architectur right victor,
85,Victor,"        Yet, if you chip us, will we not flake?  If you moisten
               us, do we not grow moist?

",329,,"        Yet, if you chip us, will we not flake?  If you moisten                us, do we not grow moist?  ",yet chip us not flake moisten us not grow moist,
86,Laverne,"       Quasi, just grab a fresh tunic and a clean pair of hose
               and--

",332,,"       Quasi, just grab a fresh tunic and a clean pair of hose                and--  ",quasi grab fresh tunic clean pair hose,
87,Quasimodo,"     Thanks for the encouragement, but you're all forgetting
               one thing.

",335,,"     Thanks for the encouragement, but you're all forgetting                one thing.  ",thank encourag forget one thing,
88,Gargoyles,"     What?

",338,,     What?  ,,
89,Quasimodo,"     My master, Frollo.

",340,,"     My master, Frollo.  ",master frollo,
90,Gargoyles,"     (Dejectedly) Oh, yeah, right (etc.)

",342,(Dejectedly),"       Oh, yeah, right (etc.)

",dejectedli oh yeah right etc,dejectedli
91,Victor,"        Well, when he says you're forbidden from ever leaving the
               bell tower, does he mean ""ever ever?""

",344,,"        Well, when he says you're forbidden from ever leaving the                bell tower, does he mean ""ever ever?""  ",well say forbidden ever leav bell tower mean ever ever,
92,Quasimodo,"     Never ever!  And he hates the Feast of Fools!  He'd be
               furious if I asked to go.

",347,,     Never ever!  And he hates the Feast of Fools!  He'd be                furious if I asked to go.  ,never ever hate feast fool furiou ask go,
93,Hugo,"          Who says you gotta ask?

",350,,          Who says you gotta ask?  ,say gotta ask,
94,Quasimodo,"     Oh, no.

",352,,"     Oh, no.  ",oh,
95,Hugo,"          Ya sneak out...

",354,,          Ya sneak out...  ,ya sneak,
96,Laverne,"       It's just one afternoon...

",356,,       It's just one afternoon...  ,one afternoon,
97,Quasimodo,"     I couldn't--

",358,,     I couldn't--  ,,
98,Hugo,"          ...and ya sneak back in.

",360,,          ...and ya sneak back in.  ,ya sneak back,
99,Laverne,"       He'll never know you were gone.

",362,,       He'll never know you were gone.  ,never know gone,
100,Quasimodo,"     I mean, if I got caught--

",364,,"     I mean, if I got caught--  ",mean got caught,
101,Victor,"        Better to beg forgiveness than to ask permission.

",366,,        Better to beg forgiveness than to ask permission.  ,better beg forgiv ask permiss,
102,Quasimodo,"     He might see me.

",368,,     He might see me.  ,might see,
103,Hugo,"          You could wear a disguise.  Just this once.  What Frollo
               doesn't know can't hurt you!

",370,,          You could wear a disguise.  Just this once.  What Frollo                doesn't know can't hurt you!  ,could wear disguis frollo know hurt,
104,Victor,"        Ignorance is bliss.

",373,,        Ignorance is bliss.  ,ignor bliss,
105,Hugo,"          (aside) Look who's talking...

",375,(aside),"            Look who's talking...

",asid look talk,asid
106,Laverne,"       Nobody wants to stay cooped up here forever.

(Quasi thinks for a moment, then a smile creeps across his face.)

",377,"(Quasi thinks for a moment, then a smile creeps across his face.)","       Nobody wants to stay cooped up here forever.

 

",nobodi want stay coop forev quasi think moment smile creep across face,quasi think moment smile creep across face
