,chars,lines,line_num,mod_line,scene_setup
53,Mulan,"Ancestors, hear my plea,
Please don't let me make a fool of me
And to not uproot my family tree
Keep my father standing tall.
Scarier than the Undertaker,
We are meeting our matchmaker!
Destiny, guard our girls,
Help our future as it fast unfurls
Please look kindly on these cultured pearls
Each a perfect porcelain doll ...
Please bring honor to us
Please bring honor to us
Please bring honor to us
Please bring honor to us
Please bring honor to us all!

",153,"Ancestors, hear my plea, Please don't let me make a fool of me And to not uproot my family tree Keep my father standing tall. Scarier than the Undertaker, We are meeting our matchmaker! Destiny, guard our girls, Help our future as it fast unfurls Please look kindly on these cultured pearls Each a perfect porcelain doll ... Please bring honor to us Please bring honor to us Please bring honor to us Please bring honor to us Please bring honor to us all!",
54,Matchmaker,"Fa Mulan?
",170,Fa Mulan?,
55,Mulan,"Present!
",172,Present!,
56,Matchmaker,"Speaking without permission ...
",174,Speaking without permission ...,
57,Mulan,"Oops ... [They go inside]
",176,Oops ...,They go inside
58,Granny Fa,"[to Fa Li] Who spit in her bean curd?
",178,Who spit in her bean curd?,to Fa Li
59,Matchmaker,"Too skinny ... not good for bearing sons.
Crickee hops out of his cage, Mulan frantically tries to put him back in.
",180,"Too skinny ... not good for bearing sons. Crickee hops out of his cage, Mulan frantically tries to put him back in.",
60,Matchmaker,"Recite the Final Admonition.
",183,Recite the Final Admonition.,
61,Mulan,"Mmm-hmm-hmm ... [pulls out a paper fan and spits Crickee out]
",185,Mmm-hmm-hmm ...,pulls out a paper fan and spits Crickee out
62,Matchmaker,"Well?
",187,Well?,
63,Mulan,"Fulfill your duties, calmly and ... [glances down at the crib notes written on her arm, which are smeared slightly] respectively. Um, reflect before you ... snack. Act! This shall bring you honor and glory. [She fans herself, the matchmaker grabs the fan and searches it for cheat notes. Finding none, she grabs Mulan by the arm (where the notes are!) and pulls her toward a table. The writing comes off in her hand.]
",189,"Fulfill your duties, calmly and ...  respectively. Um, reflect before you ... snack. Act! This shall bring you honor and glory.","glances down at the crib notes written on her arm, which are smeared slightlyShe fans herself, the matchmaker grabs the fan and searches it for cheat notes. Finding none, she grabs Mulan by the arm (where the notes are!) and pulls her toward a table. The writing comes off in her hand."
64,Matchmaker,"This way. Now, pour the tea. To please your future in-laws, you must demonstrate a sense of dignity [she rubs her hand over her mouth, and the ink rubs off with a squeak] and refinement. You must also be poised. [Mulan, staring at the Matchmaker, pours the tea but misses the cup, then regains her composure and quickly fills the teacup.]
Mulan notices Crickee relaxing happily in the tea. The Matchmaker takes the teacup.
",191,"This way. Now, pour the tea. To please your future in-laws, you must demonstrate a sense of dignity  and refinement. You must also be poised.  Mulan notices Crickee relaxing happily in the tea. The Matchmaker takes the teacup.","she rubs her hand over her mouth, and the ink rubs off with a squeakMulan, staring at the Matchmaker, pours the tea but misses the cup, then regains her composure and quickly fills the teacup."
65,Mulan,"Um, pardon me ...
",194,"Um, pardon me ...",
66,Matchmaker,"And silent! [sniffs the tea] Ah ...
",196,And silent!  Ah ...,sniffs the tea
67,Mulan,"Could I just take that back? One moment ... [She grabs for the cup]
The Matchmaker fights for the teacup, and they both fall back, the tea spilling all over the Matchmaker. Crickee hops down her dress.
",198,"Could I just take that back? One moment ...  The Matchmaker fights for the teacup, and they both fall back, the tea spilling all over the Matchmaker. Crickee hops down her dress.",She grabs for the cup
68,Matchmaker,"Why, you clumsy! ... Oh! Ah! Woo! [She trips over the fire-pot, spilling the coals and then sitting on them, the bottom of her dress smoking. Mulan desperately fans the burned spot, and it bursts into flames. The matchmaker runs around screaming.]
Outside
",201,"Why, you clumsy! ... Oh! Ah! Woo!  Outside","She trips over the fire-pot, spilling the coals and then sitting on them, the bottom of her dress smoking. Mulan desperately fans the burned spot, and it bursts into flames. The matchmaker runs around screaming."
69,Granny Fa,"[To Fa Li] I think it's going well, don't you?
The matchmaker runs outside, screaming.
",204,"I think it's going well, don't you? The matchmaker runs outside, screaming.",To Fa Li
70,Matchmaker,"Put it out! Put it out! PUT IT OUT! [Mulan throws tea over her, putting out the fire. Embarrassed, she hands the teapot to the Matchmaker and quickly walks toward Fa Li and Granny Fa.]
",207,Put it out! Put it out! PUT IT OUT!,"Mulan throws tea over her, putting out the fire. Embarrassed, she hands the teapot to the Matchmaker and quickly walks toward Fa Li and Granny Fa."
71,Matchmaker,"[furious] You are a DISGRACE! You may look like a bride, but you will NEVER bring your family honor!
People start to walk away, whispering.
At the Fa farm
Mulan is greeted with a warm smile by her father, but, humiliated, she turns away and takes Khan to the stable.

Beginning of ""Reflection""

",209,"You are a DISGRACE! You may look like a bride, but you will NEVER bring your family honor! People start to walk away, whispering. At the Fa farm Mulan is greeted with a warm smile by her father, but, humiliated, she turns away and takes Khan to the stable.  Beginning of ""Reflection""",furious
72,Mulan,"Look at me ... I will never pass for a perfect bride
Or a perfect daughter
Can it be?
I'm not meant to play this part?
Now I see
That if I were truly to be myself
I would break my family's heart.
Who is that girl I see
Staring straight back at me
Why is my reflection someone I don't know
Somehow I cannot hide
Who I am, though I've tried
When will my reflection show
Who I am inside?
When will my reflection show
Who I am, inside?

",217,"Look at me ... I will never pass for a perfect bride Or a perfect daughter Can it be? I'm not meant to play this part? Now I see That if I were truly to be myself I would break my family's heart. Who is that girl I see Staring straight back at me Why is my reflection someone I don't know Somehow I cannot hide Who I am, though I've tried When will my reflection show Who I am inside? When will my reflection show Who I am, inside?",
73,Fa Zu,"My, my, what beautiful blossoms we have this year. But look, this one's late. I bet when it blooms, it will be the most beautiful of all.
Drums sound
",235,"My, my, what beautiful blossoms we have this year. But look, this one's late. I bet when it blooms, it will be the most beautiful of all. Drums sound",
74,Mulan,"What is it?
Imperial soldiers and Chi Fu come riding over a hill.
",238,What is it? Imperial soldiers and Chi Fu come riding over a hill.,
75,Fa Li,"Mulan, stay inside.
",241,"Mulan, stay inside.",
76,Granny Fa,"Ahem. [points toward a low roof. Mulan runs over to it and peers over the roof]
",243,Ahem.,points toward a low roof. Mulan runs over to it and peers over the roof
77,Chi Fu,"Citizens! I bring a proclamation from the Imperial City! The Huns have invaded China! By order of the Emperor, one man from every family must serve in the Imperial Army. [Reading from list] The Chow Family! The Yee Family!
",245,"Citizens! I bring a proclamation from the Imperial City! The Huns have invaded China! By order of the Emperor, one man from every family must serve in the Imperial Army.  The Chow Family! The Yee Family!",Reading from list
78,Son,"I will serve the Emperor in my father's place.
",247,I will serve the Emperor in my father's place.,
79,Chi Fhou,"The Fa Family!
",249,The Fa Family!,
80,Mulan,"No!
Her father walks over to Chi Fu.
",251,No! Her father walks over to Chi Fu.,
81,Fa Zhou,"I am ready to serve the Emperor.
",254,I am ready to serve the Emperor.,
82,Mulan,"Father, you can't go!
",256,"Father, you can't go!",
83,Fa Zhou,"Mulan!
",258,Mulan!,
84,Mulan,"[To Chi Fu] Please, sir, my father has already fought for--
",260,"Please, sir, my father has already fought for--",To Chi Fu
85,Chi Fu,"Silence! You will do well to teach your daughter to hold her tongue in a man's presence.
",262,Silence! You will do well to teach your daughter to hold her tongue in a man's presence.,
86,Fa Zhou,"Mulan. You dishonor me.
",264,Mulan. You dishonor me.,
87,Chi Fu,"Report tomorrow at the Moo-Shung Camp. [He hands Fa Zu a scroll.]
",266,Report tomorrow at the Moo-Shung Camp.,He hands Fa Zu a scroll.
88,Fa Zhou,"Yes, sir.
",268,"Yes, sir.",
89,Chi Fu,"[Continues to read] The Chu Family! The Chang Family! The Yong Family!
In Fa Zhou's bedroom
Fa Zhou yanks open his closet, revealing a suit of Chinese armor, and unsheaths a sword. Mulan watches. He practices techniques, but his leg gives out and he falls against a pillar, panting.

At dinner

Mulan pours the tea, then sets her cup down with a bang.

",270,"The Chu Family! The Chang Family! The Yong Family! In Fa Zhou's bedroom Fa Zhou yanks open his closet, revealing a suit of Chinese armor, and unsheaths a sword. Mulan watches. He practices techniques, but his leg gives out and he falls against a pillar, panting.  At dinner  Mulan pours the tea, then sets her cup down with a bang.",Continues to read
90,Mulan,"You shouldn't have to go!
",279,You shouldn't have to go!,
91,Fa Li,"Mulan!
",281,Mulan!,
92,Mulan,"There are plenty of young men to fight for China!
",283,There are plenty of young men to fight for China!,
93,Fa Zhou,"It is an honor to protect my country and my family.
",285,It is an honor to protect my country and my family.,
94,Mulan,"So you'll die for honor.
",287,So you'll die for honor.,
95,Fa Zhou,"I will die doing what's right.
",289,I will die doing what's right.,
96,Mulan,"But if you ...
",291,But if you ...,
97,Fa Zhou,"I know my place. It is time you learned yours.
Mulan stares at her father for a moment, then runs outside crying.
Mulan is sitting in a statue of a dragon, crying. It is raining. Through the window of her house, she can see her mother and father talking. Fa Zhou picks up the candle and blows it out. Mulan thinks for a minute, then makes her decision.

Mulan walks into the Family Temple and lights a stick, placing it in a hanging statue of a small dragon. She runs into her parent's room, taking the scroll and leaving her hair comb. Taking her father's sword, she cuts her hair short and puts on her father's armor. Going out to the stable, she mounts Khan and sets off for the army.

The eyes of a statue in the temple flash, and Granny Fa wakes up.

",293,"I know my place. It is time you learned yours. Mulan stares at her father for a moment, then runs outside crying. Mulan is sitting in a statue of a dragon, crying. It is raining. Through the window of her house, she can see her mother and father talking. Fa Zhou picks up the candle and blows it out. Mulan thinks for a minute, then makes her decision.  Mulan walks into the Family Temple and lights a stick, placing it in a hanging statue of a small dragon. She runs into her parent's room, taking the scroll and leaving her hair comb. Taking her father's sword, she cuts her hair short and puts on her father's armor. Going out to the stable, she mounts Khan and sets off for the army.  The eyes of a statue in the temple flash, and Granny Fa wakes up.",
98,Granny Fa,"Mulan is gone!
",302,Mulan is gone!,
99,Fa Zhou,"What? It can't be ... [He runs outside] Mulan! No ...
",304,What? It can't be ...  Mulan! No ...,He runs outside
100,Fa Li,"You must go after her. She could be killed.
",306,You must go after her. She could be killed.,
101,Fa Zhou,"If I reveal her, she will be.
",308,"If I reveal her, she will be.",
102,Granny Fa,"Ancestors, hear our prayer. Watch over Mulan.
In the Family Temple, the characters on a tombstone light up, and they turn into the Great Ancestor.
",310,"Ancestors, hear our prayer. Watch over Mulan. In the Family Temple, the characters on a tombstone light up, and they turn into the Great Ancestor.",
103,Great Ancestor,"[To the small hanging dragon statue] Mushu, awaken.
The statue shakes and smokes.
",313,"Mushu, awaken. The statue shakes and smokes.",To the small hanging dragon statue
104,Mushu,"I live! So, tell me, what mortal needs my protection, Great Ancestor. You just say the word, and I'm there.
",316,"I live! So, tell me, what mortal needs my protection, Great Ancestor. You just say the word, and I'm there.",
105,Great Ancestor,"Mushu ...
",318,Mushu ...,
106,Mushu,"And lemme say something, anyone who's foolish enough to threaten OUR family, vengeance will be MINE! Grr ... arrgh ...
",320,"And lemme say something, anyone who's foolish enough to threaten OUR family, vengeance will be MINE! Grr ... arrgh ...",
107,Great Ancestor,"Mushu! These are the family guardians. They ...
",322,Mushu! These are the family guardians. They ...,
108,Mushu,"Protect the family.
",324,Protect the family.,
109,Great Ancestor,"And you, O Demoted One ...
",326,"And you, O Demoted One ...",
110,Mushu,"I ring the gong.
",328,I ring the gong.,
111,Great Ancestor,"That's right. Now, wake up the Ancestors ...
",330,"That's right. Now, wake up the Ancestors ...",
112,Mushu,"One family reunion coming right up. Okay, people, people, look alive! Let's go, c'mon, get up! Let's move it! Rise and shine! Y'all way past the beauty sleep thing.
",332,"One family reunion coming right up. Okay, people, people, look alive! Let's go, c'mon, get up! Let's move it! Rise and shine! Y'all way past the beauty sleep thing.",
113,Ancestor #1,"I knew it, I knew it. That Mulan was a troublemaker from the start.
",334,"I knew it, I knew it. That Mulan was a troublemaker from the start.",
114,Ancestor #2,"Don't look at me, she gets it from your side of the family!
",336,"Don't look at me, she gets it from your side of the family!",
115,Ancestor #3,"She's just trying to help her father!
",338,She's just trying to help her father!,
116,Ancestor #4,"But if she's discovered, Fa Zu will be forever shamed. Dishonor will come to the family. Traditional values will disintegrate!
",340,"But if she's discovered, Fa Zu will be forever shamed. Dishonor will come to the family. Traditional values will disintegrate!",
117,Ancestor #5,"Not to mention they'll lose the farm!
",342,Not to mention they'll lose the farm!,
118,Ancestor #1,"My children never caused such trouble; they all became acupuncturists!
",344,My children never caused such trouble; they all became acupuncturists!,
119,Ancestor #2,"Well, we can't all be acupuncturists!
",346,"Well, we can't all be acupuncturists!",
120,Ancestor #6,"No! Your great-granddaughter had to be a CROSS-DRESSER!
The Ancestors start to argue
",348,No! Your great-granddaughter had to be a CROSS-DRESSER! The Ancestors start to argue,
121,Ancestor #7,"Let a guardian bring her back!
",351,Let a guardian bring her back!,
122,Ancestor #2,"Yes! Awaken the most cunning!
",353,Yes! Awaken the most cunning!,
123,Ancestor #4,"No! The swiftest!
",355,No! The swiftest!,
124,Ancestor #8,"No, send the wisest!
",357,"No, send the wisest!",
125,Great Ancestor,"SILENCE! We will send the most powerful of all.
",359,SILENCE! We will send the most powerful of all.,
126,Mushu,"[laughs] Okay, okay, I get the Jif. I'll go.
Laughter
",361,"Okay, okay, I get the Jif. I'll go. Laughter",laughs
127,Mushu,"Well, y'all don't think I can do it! Watch this here! [Blows a tiny flame] Ah-hah! Jump back, I'm pretty hot. But I don't have to singe nobody to prove no point.
",364,"Well, y'all don't think I can do it! Watch this here!  Ah-hah! Jump back, I'm pretty hot. But I don't have to singe nobody to prove no point.",Blows a tiny flame
128,Great Ancestor,"You had your chance to protect the Fa Family.
",366,You had your chance to protect the Fa Family.,
129,Ancestor #6,"Your misguidance led Fa Thang to disaster!
",368,Your misguidance led Fa Thang to disaster!,
130,Fa Thang,"Yeah, thanks a lot.
",370,"Yeah, thanks a lot.",
131,Mushu,"And your point is?
",372,And your point is?,
132,Great Ancestor,"The point is, we will be sending a REAL dragon to retrieve Mulan.
",374,"The point is, we will be sending a REAL dragon to retrieve Mulan.",
133,Mulan,"What? What? I'm a real dragon!
",376,What? What? I'm a real dragon!,
134,Great Ancestor,"You're not even worthy of this thought! Now, awaken the Great Stone Dragon!
",378,"You're not even worthy of this thought! Now, awaken the Great Stone Dragon!",
135,Mushu,"So you'll get back to me on the job thing. [He is hit in the face with his gong.]
",380,So you'll get back to me on the job thing.,He is hit in the face with his gong.
136,Mushu,"Just one chance. Is that too much to ask? I mean, it's not like it'll kill you. [To the dragon statue] Yo, Rocky, wake up! You gotta go fetch Mulan! C'mon, boy! Go get her! Go on! C'mon! [He climbs up on the statue, dragging the gong.] Grr ... arrgh. Grr. Hello? Helloooo? HELLO! [He hits the ear of the dragon with the gong, and it falls off. Suddenly, the entire statue falls apart.] Uh-oh ...
",382,"Just one chance. Is that too much to ask? I mean, it's not like it'll kill you.  Yo, Rocky, wake up! You gotta go fetch Mulan! C'mon, boy! Go get her! Go on! C'mon!  Grr ... arrgh. Grr. Hello? Helloooo? HELLO!  Uh-oh ...","To the dragon statueHe climbs up on the statue, dragging the gong.He hits the ear of the dragon with the gong, and it falls off. Suddenly, the entire statue falls apart."
137,Mushu,"Uh ... Stoney? Stoney ... Oh, man, they're gonna kill me!
",384,"Uh ... Stoney? Stoney ... Oh, man, they're gonna kill me!",
138,Great Ancestor,"Great Stone Dragon! Have you awakened?
",386,Great Stone Dragon! Have you awakened?,
139,Mushu,"[Holding up the head of the Great Stone Dragon] Uh, yes, I just woke up! Um, I am the Great Stone Dragon! Good morning! I will go forth and fetch Mulan! Did- did I mention that I am the Great Stone Dragon?
",388,"Uh, yes, I just woke up! Um, I am the Great Stone Dragon! Good morning! I will go forth and fetch Mulan! Did- did I mention that I am the Great Stone Dragon?",Holding up the head of the Great Stone Dragon
140,Great Ancestor,"Go! The fate of the Fa family rests in your claws.
",390,Go! The fate of the Fa family rests in your claws.,
141,Mushu,"Don't even worry about it. I will not lose face. [He loses his balance and tumbles down the hill, the dragon head landing on top of him.] Ow, ah, my elbow. Oh, oh, I know I twisted something. [He lifts the head off.] That's just great, now what? I'm doomed, and all because Ms. Man decided to take a little drag show on the road.
",392,"Don't even worry about it. I will not lose face.  Ow, ah, my elbow. Oh, oh, I know I twisted something.  That's just great, now what? I'm doomed, and all because Ms. Man decided to take a little drag show on the road.","He loses his balance and tumbles down the hill, the dragon head landing on top of him.He lifts the head off."
142,Crickee,"Chirp.
",394,Chirp.,
143,Mushu,"Go GET her! What's the matter with you? After this Great Stone Humptey Dumptey mess, I'd have to bring her back with a medal to get back in the Temple! Waitaminute! That's it! I make Mulan a war hero, and they'll be begging me to come back to work! That's the master plan! Oh, you've done it now, man.
",396,"Go GET her! What's the matter with you? After this Great Stone Humptey Dumptey mess, I'd have to bring her back with a medal to get back in the Temple! Waitaminute! That's it! I make Mulan a war hero, and they'll be begging me to come back to work! That's the master plan! Oh, you've done it now, man.",
144,Crickee,"Chirp.
",398,Chirp.,
145,Mushu,"[running] And what makes you think you're coming?
",400,And what makes you think you're coming?,running
146,Crickee,"Chirp.
",402,Chirp.,
147,Mushu,"You're LUCKY? Do I look like a sucker to you?
",404,You're LUCKY? Do I look like a sucker to you?,
148,Crickee,"Chirp.
",406,Chirp.,
149,Mushu,"What do you mean, a loser? What if I pop one of you antennae of and throw it across the yard, then who's the loser, or me?
",408,"What do you mean, a loser? What if I pop one of you antennae of and throw it across the yard, then who's the loser, or me?",
150,Crickee,"Chirp.
Mushu chases him out of the yard and down the road.
The Hun army comes to a stop by a marsh. Two Chinese soldiers are dragged out of a tree and thrown before Shan Yu.
",410,Chirp. Mushu chases him out of the yard and down the road. The Hun army comes to a stop by a marsh. Two Chinese soldiers are dragged out of a tree and thrown before Shan Yu.,
151,Hun,"Imperial Scouts.
",414,Imperial Scouts.,
152,Soldier #1,"Shan Yu!
",416,Shan Yu!,
153,Shan Yu,"Nice work, gentlemen. You've found the Hun army.
Laughter
",418,"Nice work, gentlemen. You've found the Hun army. Laughter",
154,Soldier #2,"The Emperor will stop you.
",421,The Emperor will stop you.,
155,Shan Yu,"Stop me! He invited me. By building his wall, he challenged my strength. Well, I'm here to play his game. Go! Tell your Emperor to send his strongest armies. I'm ready.
The two soldiers scurry off, one after the other.
",423,"Stop me! He invited me. By building his wall, he challenged my strength. Well, I'm here to play his game. Go! Tell your Emperor to send his strongest armies. I'm ready. The two soldiers scurry off, one after the other.",
156,Shan Yu,"How many men does it take to deliver a message?
",426,How many men does it take to deliver a message?,
157,Hun Archer,"One.
***

",428,One. ***,
158,Mulan,"Okay. Okay, how about this: [in a deep voice] Excuse me, where do I sign in? Ah, I see you have a sword. I have one, too. They're very manly, and strong. [She fumbles with the sword, dropping it on the ground.]
Khan rolls with laughter, and is hit by a shoe.
",432,"Okay. Okay, how about this:  Excuse me, where do I sign in? Ah, I see you have a sword. I have one, too. They're very manly, and strong.  Khan rolls with laughter, and is hit by a shoe.","in a deep voiceShe fumbles with the sword, dropping it on the ground."
159,Mulan,"I'm working on it! Oh, who am I fooling. It'd take a miracle to get me into the army.
",435,"I'm working on it! Oh, who am I fooling. It'd take a miracle to get me into the army.",
160,Mushu,"[covered in smoke, and surrounded by fire, all Mulan can see is his giant shadow.] Did I hear someone ask for a miracle! Lemme hear ya say, ""Aaah!""
",437,"Did I hear someone ask for a miracle! Lemme hear ya say, ""Aaah!""","covered in smoke, and surrounded by fire, all Mulan can see is his giant shadow."
161,Mulan,"Aughhh!
",439,Aughhh!,
162,Mushu,"That's close enough!
",441,That's close enough!,
163,Mulan,"A ghost!
",443,A ghost!,
