,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
10,BAKER,"        Where are you off to?
",54,,        Where are you off to? ,,
11,BELLE,"        The bookshop! I just finished the most wonderful story, about
              a beanstalk and an ogre and...
",55,,"        The bookshop! I just finished the most wonderful story, about               a beanstalk and an ogre and... ",bookshop finish wonder stori beanstalk ogr,
12,BAKER,"        (Ignoring her) That's nice...Marie, the baguettes! Hurry up!!
",57,(Ignoring her),"          That's nice...Marie, the baguettes! Hurry up!!
",ignor nice mari baguett hurri,ignor
13,TOWNSFOLK,"    Look there she goes, that girl is strange no question
              Dazed and distracted, can't you tell?
",58,,"    Look there she goes, that girl is strange no question               Dazed and distracted, can't you tell? ",look goe girl strang question daze distract tell,
14,WOMAN 1,"      Never part of any crowd
",60,,      Never part of any crowd ,never part crowd,
15,BARBER,"       Cause her head's up on some cloud
",61,,       Cause her head's up on some cloud ,caus head cloud,
16,TOWNSFOLK,"    No denying she's a funny girl, that Belle!
(BELLE jumps on the back of a wagon and rides through town)
",62,(BELLE jumps on the back of a wagon and rides through town),"    No denying she's a funny girl, that Belle!
 
",deni funni girl bell bell jump back wagon ride town,bell jump back wagon ride town
17,DRIVER,"       Bonjour!
",64,,       Bonjour! ,bonjour,
18,WOMAN 2,"      Good day!
",65,,      Good day! ,good day,
19,DRIVER,"       How is your family?

",66,,       How is your family?  ,famili,
20,WOMAN 3,"      Bonjour!
",68,,      Bonjour! ,bonjour,
21,MERCHANT,"     Good day!
",69,,     Good day! ,good day,
22,WOMAN 3,"      How is your wife?

",70,,      How is your wife?  ,wife,
23,WOMAN 4,"      I need six eggs!
",72,,      I need six eggs! ,need six egg,
24,MAN 1,"        That's too expensive!
",73,,        That's too expensive! ,expens,
25,BELLE,"        There must be more than this provincial life!
(BELLE enters the bookshop)
",74,(BELLE enters the bookshop),"        There must be more than this provincial life!
 
",must provinci life bell enter bookshop,bell enter bookshop
26,BOOKSELLER,"   Ah, Belle!
",76,,"   Ah, Belle! ",ah bell,
27,BELLE,"        Good morning.  I've come to return the book I borrowed.
",77,,        Good morning.  I've come to return the book I borrowed. ,good morn come return book borrow,
28,BOOKSELLER,"   (Putting the book back on the shelf) Finished already?
",78,(Putting the book back on the shelf),"     Finished already?
",put book back shelf finish alreadi,put book back shelf
29,BELLE,"        Oh, I couldn't put it down!  Have you got anything new?
",79,,"        Oh, I couldn't put it down!  Have you got anything new? ",oh put got anyth new,
30,BOOKSELLER,"   (laughing) Not since yesterday.
",80,(laughing),"     Not since yesterday.
",laugh not sinc yesterday,laugh
31,BELLE,"        (on ladder of bookshelf) That's all right.  I'll borrow...
              this one.
",81,(on ladder of bookshelf),"          That's all right.  I'll borrow...
              this one.
",ladder bookshelf right borrow one,ladder bookshelf
32,BOOKSELLER,"   That one?  But you've read it twice!
",83,,   That one?  But you've read it twice! ,one read twice,
33,BELLE,"        Well it's my favorite!  (BELLE swings off side of ladder,
              rolling down it's track) Far off places, daring
              swordfights, magic spells,  a prince in disguise!
",84,"(BELLE swings off side of ladder,
              rolling down it's track)","        Well it's my favorite!  (BELLE swings off side of ladder,
              rolling down it's track) Far off places, daring
              swordfights, magic spells,  a prince in disguise!
",well favorit bell swing side ladder roll track far place dare swordfight magic spell princ disguis,bell swing side ladder roll track
34,BOOKSELLER,"   (handing her the book)  Well, if you like it all that much,
              it's yours!
",87,(handing her the book),"      Well, if you like it all that much,
              it's yours!
",hand book well like much,hand book
35,BELLE,"        But sir!
",89,,        But sir! ,sir,
36,BOOKSELLER,"   I insist!
",90,,   I insist! ,insist,
37,BELLE,"        Well thank you.  Thank you very much! (leaves bookshop)
",91,(leaves bookshop),"        Well thank you.  Thank you very much!  
",well thank thank much leav bookshop,leav bookshop
38,MEN,"          (looking in window, then turning to watch her)
              Look there she goes
              That girl is so peculiar!
              I wonder if she's feeling well!
",92,"(looking in window, then turning to watch her)","           
              Look there she goes
              That girl is so peculiar!
              I wonder if she's feeling well!
",look window turn watch look goe girl peculiar wonder feel well,look window turn watch
39,WOMEN,"        With a dreamy far-off look!
",96,,        With a dreamy far-off look! ,dreami far look,
40,MEN,"          And her nose stuck in a book!
ALL           What a puzzle to the rest of us is Belle!
(BELLE sits on the edge of a fountain, singing to the sheep and the washing
woman in the background, who leaves)
",97,"(BELLE sits on the edge of a fountain, singing to the sheep and the washing
woman in the background, who leaves)","          And her nose stuck in a book!
ALL           What a puzzle to the rest of us is Belle!
(BELLE sits on the edge of a fountain, singing to the sheep and the washing
woman in the background, who leaves)
",nose stuck book puzzl rest us bell bell sit edg fountain sing sheep wash woman background leav,bell sit edg fountain sing sheep wash woman background leav
41,BELLE,"        Oh! Isn't this amazing!
              It's my favorite part because, you'll see!
              Here's where she meets Prince Charming
              But she won't discover that it's him 'til chapter three!

",101,,"        Oh! Isn't this amazing!               It's my favorite part because, you'll see!               Here's where she meets Prince Charming               But she won't discover that it's him 'til chapter three!  ",oh amaz favorit part see meet princ charm discov til chapter three,
42,WOMAN 5,"      Now it's no wonder that her name means 'beauty'
              Her looks have got no parallel!
",106,,      Now it's no wonder that her name means 'beauty'               Her looks have got no parallel! ,wonder name mean beauti look got parallel,
43,MERCHANT,"     But behind that fair facade
              I'm afraid she's rather odd
              Very different from the rest of us...
",108,,     But behind that fair facade               I'm afraid she's rather odd               Very different from the rest of us... ,behind fair facad afraid rather odd differ rest us,
44,ALL,"          She's nothing like the rest of us
              Yes different from the rest of us is Belle
(GEESE flying overhead, one is shot and plummets to the ground.  LEFOU runs
over, holds out the bag, and misses catching the prize.  He returns to GASTON)
",111,"(GEESE flying overhead, one is shot and plummets to the ground.  LEFOU runs
over, holds out the bag, and misses catching the prize.  He returns to GASTON)","          She's nothing like the rest of us
              Yes different from the rest of us is Belle
(GEESE flying overhead, one is shot and plummets to the ground.  LEFOU runs
over, holds out the bag, and misses catching the prize.  He returns to GASTON)
",noth like rest us ye differ rest us bell gees fli overhead one shot plummet ground lefou run hold bag miss catch prize return gaston,gees fli overhead one shot plummet ground lefou run hold bag miss catch prize return gaston
45,LEFOU,"        Wow! You didn't miss a shot, Gaston!  You're the
              greatest hunter in the whole world!
",115,,"        Wow! You didn't miss a shot, Gaston!  You're the               greatest hunter in the whole world! ",wow miss shot gaston greatest hunter whole world,
46,GASTON,"       I know!
",117,,       I know! ,know,
47,LEFOU,"        Huh.  No beast alive stands a chance against
              you...and no girl for that matter!
",118,,        Huh.  No beast alive stands a chance against               you...and no girl for that matter! ,huh beast aliv stand chanc girl matter,
48,GASTON,"       It's true, Lefou, and I've got my sights set on that
              one! (pointing to BELLE)
",120,(pointing to BELLE),"       It's true, Lefou, and I've got my sights set on that
              one!  
",true lefou got sight set one point bell,point bell
49,LEFOU,"        The inventor's daughter?
",122,,        The inventor's daughter? ,inventor daughter,
50,GASTON,"       She's the one!  The lucky girl I'm going to marry.
",123,,       She's the one!  The lucky girl I'm going to marry. ,one lucki girl go marri,
51,LEFOU,"        But she's--
",124,,        But she's-- ,,
52,GASTON,"       The most beautiful girl in town.
",125,,       The most beautiful girl in town. ,beauti girl town,
53,LEFOU,"        I know--
",126,,        I know-- ,know,
54,GASTON,"       And that makes her the best.  And don't I deserve the best?
",127,,       And that makes her the best.  And don't I deserve the best? ,make best deserv best,
55,LEFOU,"        Well of course, I mean you do, but I mean...
",128,,"        Well of course, I mean you do, but I mean... ",well cours mean mean,
56,GASTON,"       Right from the moment when I met her, saw her
              I said she's gorgeous and I fell
              Here in town there's only she (BELLE walks by and away)
              Who is beautiful as me
              So I'm making plans to woo and marry Belle
",129,(BELLE walks by and away),"       Right from the moment when I met her, saw her
              I said she's gorgeous and I fell
              Here in town there's only she  
              Who is beautiful as me
              So I'm making plans to woo and marry Belle
",right moment met saw said gorgeou fell town bell walk away beauti make plan woo marri bell,bell walk away
57,BIMBETTES,"    Look there he goes, isn't he dreamy
              Monsieur Gaston, oh he's so cute
              Be still my heart, I'm hardly breathing
              He's such a tall, dark, strong and handsome brute
(BELLE walks easily through the crowd of people in the town, GASTON struggles
to
catch up to her)
",134,"(BELLE walks easily through the crowd of people in the town, GASTON struggles
to
catch up to her)","    Look there he goes, isn't he dreamy
              Monsieur Gaston, oh he's so cute
              Be still my heart, I'm hardly breathing
              He's such a tall, dark, strong and handsome brute
(BELLE walks easily through the crowd of people in the town, GASTON struggles
to
catch up to her)
",look goe dreami monsieur gaston oh cute still heart hardli breath tall dark strong handsom brute bell walk easili crowd peopl town gaston struggl catch,bell walk easili crowd peopl town gaston struggl catch
58,MAN 1,"        Bonjour!
",141,,        Bonjour! ,bonjour,
59,GASTON,"       Pardon!
",142,,       Pardon! ,pardon,
60,MAN 2,"        Good day!
",143,,        Good day! ,good day,
61,MAN 3,"        Mais oui!
",144,,        Mais oui! ,mai oui,
62,WOMAN 1,"      You call this bacon?
",145,,      You call this bacon? ,call bacon,
63,WOMAN 2,"      What lovely grapes!
",146,,      What lovely grapes! ,love grape,
64,MAN 4,"        Some cheese!
",147,,        Some cheese! ,chees,
65,WOMAN 3,"      Ten yards!
",148,,      Ten yards! ,ten yard,
66,MAN 4,"        One pound
",149,,        One pound ,one pound,
67,GASTON,"       'xcuse me!
",150,,       'xcuse me! ,xcuse,
68,MAN 4,"        I'll get the knife!
",151,,        I'll get the knife! ,get knife,
69,GASTON,"       Please let me through!
",152,,       Please let me through! ,pleas let,
70,WOMAN 4,"      This bread!
",153,,      This bread! ,bread,
71,MAN 5,"        Those fish!
",154,,        Those fish! ,fish,
72,WOMAN 4,"      It's stale!
",155,,      It's stale! ,stale,
73,MAN 5,"        They smell!
",156,,        They smell! ,smell,
74,MAN 6,"        Madame's mistaken!
",157,,        Madame's mistaken! ,madam mistaken,
75,BELLE,"        There must be more than this provincial life!
",158,,        There must be more than this provincial life! ,must provinci life,
76,ALL,"          Well maybe so...
",159,,          Well maybe so... ,well mayb,
77,GASTON,"       Just watch I'm going to make Belle my wife! (TOWNSFOLK gather
              around GASTON, and eventually surround him)
",160,"(TOWNSFOLK gather
              around GASTON, and eventually surround him)","       Just watch I'm going to make Belle my wife! (TOWNSFOLK gather
              around GASTON, and eventually surround him)
",watch go make bell wife townsfolk gather around gaston eventu surround,townsfolk gather around gaston eventu surround
78,ALL,"          Look there she goes a girl who's strange but special
              A most peculiar mademoiselle
              It's a pity and a sin
              She doesn't quite fit in!
",162,,          Look there she goes a girl who's strange but special               A most peculiar mademoiselle               It's a pity and a sin               She doesn't quite fit in! ,look goe girl strang special peculiar mademoisel piti sin quit fit,
79,GROUP 1,"      But she really is a funny girl
",166,,      But she really is a funny girl ,realli funni girl,
80,GROUP 2,"      A beauty but a funny girl
",167,,      A beauty but a funny girl ,beauti funni girl,
81,ALL,"          She really is a funny girl! That Belle!

",168,,          She really is a funny girl! That Belle!  ,realli funni girl bell,
82,GASTON,"       Hello, Belle.
",170,,"       Hello, Belle. ",hello bell,
83,BELLE,"        Bonjour Gaston.  (GASTON grabs the book from BELLE) Gaston,
              may I have my book, please?
",171,(GASTON grabs the book from BELLE),"        Bonjour Gaston.    Gaston,
              may I have my book, please?
",bonjour gaston gaston grab book bell gaston may book pleas,gaston grab book bell
84,GASTON,"       How can you read this? There's no pictures!
",173,,       How can you read this? There's no pictures! ,read pictur,
85,BELLE,"        Well, some people use their imaginations.
",174,,"        Well, some people use their imaginations. ",well peopl use imagin,
86,GASTON,"       Belle, it's about time you got your head out of those books
              (tossing book into the mud)  and paid attention to more
              important things...like me! The whole town's talking about
              it.  (The BIMBETTES, who are looking on, sigh.  BELLE has
              picked up the book and is cleaning off the mud)   It's not
              right for a woman to read--soon she starts getting ideas...
              and thinking.
",175,(tossing book into the mud),"       Belle, it's about time you got your head out of those books
                 and paid attention to more
              important things...like me! The whole town's talking about
              it.  (The BIMBETTES, who are looking on, sigh.  BELLE has
              picked up the book and is cleaning off the mud)   It's not
              right for a woman to read--soon she starts getting ideas...
              and thinking.
",bell time got head book toss book mud paid attent import thing like whole town talk bimbett look sigh bell pick book clean mud not right woman read soon start get idea think,toss book mud
87,BELLE,"        Gaston, you are positively primeval.
",182,,"        Gaston, you are positively primeval. ",gaston posit primev,
88,GASTON,"       (Putting his hand around her shoulders) Why thank you,
              Belle.  Hey, whaddya say you and me take a walk over to
              the tavern and have a look at my hunting trophies.
",183,(Putting his hand around her shoulders),"         Why thank you,
              Belle.  Hey, whaddya say you and me take a walk over to
              the tavern and have a look at my hunting trophies.
",put hand around shoulder thank bell hey whaddya say take walk tavern look hunt trophi,put hand around shoulder
89,BELLE,"        Maybe some other time.
",186,,        Maybe some other time. ,mayb time,
90,BIMBETTE 1,"   What's wrong with her?
",187,,   What's wrong with her? ,wrong,
91,BIMBETTE 2,"   She's crazy!
",188,,   She's crazy! ,crazi,
92,BIMBETTE 3,"   He's gorgeous!
",189,,   He's gorgeous! ,gorgeou,
93,BELLE,"        Please, Gaston. I can't.  I have to get home and help my
              father.
",190,,"        Please, Gaston. I can't.  I have to get home and help my               father. ",pleas gaston get home help father,
94,LEFOU,"        Ha ha ha, that crazy old loon, he need all the help he can get!
(GASTON and LEFOU laugh heartily)
",192,(GASTON and LEFOU laugh heartily),"        Ha ha ha, that crazy old loon, he need all the help he can get!
 
",ha ha ha crazi old loon need help get gaston lefou laugh heartili,gaston lefou laugh heartili
95,BELLE,"        Don't you talk about my father that way!
",194,,        Don't you talk about my father that way! ,talk father way,
96,GASTON,"       Yeah, don't talk about her father that way! (He conks LEFOU on
              the head.)
",195,"(He conks LEFOU on
              the head.)","       Yeah, don't talk about her father that way! (He conks LEFOU on
              the head.)
",yeah talk father way conk lefou head,conk lefou head
97,BELLE,"        My father's not crazy!  He's a genius!  (Explosion in background.
              GASTON and LEFOU continue laughing.  BELLE rushes home and
              descends into the basement.)
",197,"(Explosion in background.
              GASTON and LEFOU continue laughing.  BELLE rushes home and
              descends into the basement.)","        My father's not crazy!  He's a genius!  (Explosion in background.
              GASTON and LEFOU continue laughing.  BELLE rushes home and
              descends into the basement.)
",father not crazi geniu explos background gaston lefou continu laugh bell rush home descend basement,explos background gaston lefou continu laugh bell rush home descend basement
98,BELLE,"        Papa?
",200,,        Papa? ,papa,
99,MAURICE,"      How on earth did that happen? Dog gonnit! (He pulls the barrel
              off his waist, along with his pants.)
",201,"(He pulls the barrel
              off his waist, along with his pants.)","      How on earth did that happen? Dog gonnit! (He pulls the barrel
              off his waist, along with his pants.)
",earth happen dog gonnit pull barrel waist along pant,pull barrel waist along pant
100,BELLE,"        Are you all right, Papa?
",203,,"        Are you all right, Papa? ",right papa,
101,MAURICE,"      I'm about ready to give up on this hunk of junk! (kicking
              machine)
",204,"(kicking
              machine)","      I'm about ready to give up on this hunk of junk! (kicking
              machine)
",readi give hunk junk kick machin,kick machin
102,BELLE,"        You always say that.
",206,,        You always say that. ,alway say,
103,MAURICE,"      I mean it, this time.  I'll never get this boneheaded contraption
              to work.
",207,,"      I mean it, this time.  I'll never get this boneheaded contraption               to work. ",mean time never get bonehead contrapt work,
104,BELLE,"        Yes, you will.  And you'll win first prize at the fair tomorrow
",209,,"        Yes, you will.  And you'll win first prize at the fair tomorrow ",ye win first prize fair tomorrow,
105,MAURICE,"      Hmmmph!
",210,,      Hmmmph! ,hmmmph,
106,BELLE,"        ...and become a world famous inventor!
",211,,        ...and become a world famous inventor! ,becom world famou inventor,
107,MAURICE,"      You really believe that?
",212,,      You really believe that? ,realli believ,
108,BELLE,"        I always have.
",213,,        I always have. ,alway,
109,MAURICE,"      Well, what are we waiting for.  I'll have this thing fixed in no
              time.  (sliding under machine) Hand me that dog-legged clencher
              there...  So, did you have a good time in town today?
",214,(sliding under machine),"      Well, what are we waiting for.  I'll have this thing fixed in no
              time.    Hand me that dog-legged clencher
              there...  So, did you have a good time in town today?
",well wait thing fix time slide machin hand dog leg clencher good time town today,slide machin
110,BELLE,"        I got a new book.  Papa, do you think I'm odd?
",217,,"        I got a new book.  Papa, do you think I'm odd? ",got new book papa think odd,
111,MAURICE,"      My daughter?  Odd?  (Appears from under machine with bizarre
              goggle contraption on his head distorting his eyes) Where would
              you get an idea like that?
",218,"(Appears from under machine with bizarre
              goggle contraption on his head distorting his eyes)","      My daughter?  Odd?  (Appears from under machine with bizarre
              goggle contraption on his head distorting his eyes) Where would
              you get an idea like that?
",daughter odd appear machin bizarr goggl contrapt head distort eye would get idea like,appear machin bizarr goggl contrapt head distort eye
112,BELLE,"        Oh, I don't know.  It's just I'm not sure I fit in here.
              There's no one I can really talk to.
",221,,"        Oh, I don't know.  It's just I'm not sure I fit in here.               There's no one I can really talk to. ",oh know not sure fit one realli talk,
113,MAURICE,"      What about that Gaston?  He's a handsome fellow!
",223,,      What about that Gaston?  He's a handsome fellow! ,gaston handsom fellow,
114,BELLE,"        He's handsome all right, and rude and conceited and...Oh Papa,
              he's not for me!
",224,,"        He's handsome all right, and rude and conceited and...Oh Papa,               he's not for me! ",handsom right rude conceit oh papa not,
115,MAURICE,"      Well, don't you worry, cause this invention's going to be the
              start of a new life for us.  (Comes out from under machine) I
              think that's done it.  Now, let's give it a try.  (MACHINE
              whirs and chops wood, just as it should)
",226,(Comes out from under machine),"      Well, don't you worry, cause this invention's going to be the
              start of a new life for us.    I
              think that's done it.  Now, let's give it a try.  (MACHINE
              whirs and chops wood, just as it should)
",well worri caus invent go start new life us come machin think done let give tri machin whir chop wood,come machin
116,BELLE,"        It works!
",230,,        It works! ,work,
117,MAURICE,"      It does? It does!
",231,,      It does? It does! ,,
118,BELLE,"        You did it!  You really did it!
",232,,        You did it!  You really did it! ,realli,
119,MAURICE,"      Hitch up Phillipe, girl.  I'm off to the fair! (Log strikes
              him in the head, knocking him out.  Fade to later in the day)

",233,"(Log strikes
              him in the head, knocking him out.  Fade to later in the day)","      Hitch up Phillipe, girl.  I'm off to the fair! (Log strikes
              him in the head, knocking him out.  Fade to later in the day)

",hitch phillip girl fair log strike head knock fade later day,log strike head knock fade later day
120,BELLE,"        Good bye, Papa! Good luck!
",236,,"        Good bye, Papa! Good luck! ",good bye papa good luck,
121,MAURICE,"      Good bye, Belle, and take care while I'm gone!
(MAURICE and PHILLIPE continue on their journey until they become lost)
",237,(MAURICE and PHILLIPE continue on their journey until they become lost),"      Good bye, Belle, and take care while I'm gone!
 
",good bye bell take care gone mauric phillip continu journey becom lost,mauric phillip continu journey becom lost
122,MAURICE,"      We should be there by now.  Maybe we missed a turn. I guess I
              should have taken a...wait a minute.  (Lifts lantern to
              illuminate sign giving directions to Anaheim and Valencia)
              Let's go this way!
(PHILLIPE looks right, at a dark, overgrown path, then left towards a more
inviting route, then begins to go left)
",239,"(Lifts lantern to
              illuminate sign giving directions to Anaheim and Valencia)","      We should be there by now.  Maybe we missed a turn. I guess I
              should have taken a...wait a minute.  (Lifts lantern to
              illuminate sign giving directions to Anaheim and Valencia)
              Let's go this way!
(PHILLIPE looks right, at a dark, overgrown path, then left towards a more
inviting route, then begins to go left)
",mayb miss turn guess taken wait minut lift lantern illumin sign give direct anaheim valencia let go way phillip look right dark overgrown path left toward invit rout begin go left,lift lantern illumin sign give direct anaheim valencia
123,MAURICE,"      Come on, Phillipe!  It's a shortcut.  We'll be there in no time!
(PHILLIPE and MAURICE continue through the dark.)
",245,(PHILLIPE and MAURICE continue through the dark.),"      Come on, Phillipe!  It's a shortcut.  We'll be there in no time!
 
",come phillip shortcut time phillip mauric continu dark,phillip mauric continu dark
124,MAURICE,"      This can't be right.  Where have you taken us, Phillipe?  We'd
              better turn around...and...whoa...whoa boy, whoa Phillipe. Oh,
              oh! Look out!
(A swarm of bats fly out of a tree.  PHILLIPE runs through the forest avoiding
everything until he almost runs over the edge of a cliff)
",247,"(A swarm of bats fly out of a tree.  PHILLIPE runs through the forest avoiding
everything until he almost runs over the edge of a cliff)","      This can't be right.  Where have you taken us, Phillipe?  We'd
              better turn around...and...whoa...whoa boy, whoa Phillipe. Oh,
              oh! Look out!
(A swarm of bats fly out of a tree.  PHILLIPE runs through the forest avoiding
everything until he almost runs over the edge of a cliff)
",right taken us phillip better turn around whoa whoa boy whoa phillip oh oh look swarm bat fli tree phillip run forest avoid everyth almost run edg cliff,swarm bat fli tree phillip run forest avoid everyth almost run edg cliff
125,MAURICE,"      Back up! Back up! Back up! Good boy, good boy. That's good,
              that's--back up!  Steady. Steady!  Hey now. Steady. (PHILLIPE
              finally bucks him off.) Phillipe!  (PHILLIPE runs away, leaving
              MAURICE on the edge of the cliff.) Phillipe?  Oh no! (He looks
              up and sees WOLVES growling at him.  MAURICE runs away, being
              chased by the WOLVES.  He stumbles down a hill, and lands at the
              gate of a castle. He grabs the locked gate and tries to shake it
              open.)
",252,"(PHILLIPE
              finally bucks him off.)","      Back up! Back up! Back up! Good boy, good boy. That's good,
              that's--back up!  Steady. Steady!  Hey now. Steady. (PHILLIPE
              finally bucks him off.) Phillipe!  (PHILLIPE runs away, leaving
              MAURICE on the edge of the cliff.) Phillipe?  Oh no! (He looks
              up and sees WOLVES growling at him.  MAURICE runs away, being
              chased by the WOLVES.  He stumbles down a hill, and lands at the
              gate of a castle. He grabs the locked gate and tries to shake it
              open.)
",back back back good boy good boy good back steadi steadi hey steadi phillip final buck phillip phillip run away leav mauric edg cliff phillip oh look see wolv growl mauric run away chase wolv stumbl hill land gate castl grab lock gate tri shake open,phillip final buck
126,MAURICE,"      Help!  Is someone there?
(The gate opens, and MAURICE runs in. He slams the gate in the faces of the
WOLVES.  Leaving his hat on the ground as the rain begins to fall, MAURICE runs
to the castle and bangs on the door.  It creaks open and he enters,
cautiously.)
",260,"(The gate opens, and MAURICE runs in. He slams the gate in the faces of the
WOLVES.  Leaving his hat on the ground as the rain begins to fall, MAURICE runs
to the castle and bangs on the door.  It creaks open and he enters,
cautiously.)","      Help!  Is someone there?
(The gate opens, and MAURICE runs in. He slams the gate in the faces of the
WOLVES.  Leaving his hat on the ground as the rain begins to fall, MAURICE runs
to the castle and bangs on the door.  It creaks open and he enters,
cautiously.)
",help someon gate open mauric run slam gate face wolv leav hat ground rain begin fall mauric run castl bang door creak open enter cautious,gate open mauric run slam gate face wolv leav hat ground rain begin fall mauric run castl bang door creak open enter cautious
127,MAURICE,"      Hello? Hello?
(Watching from a table near the entrance are LUMIERE and COGSWORTH)
",265,(Watching from a table near the entrance are LUMIERE and COGSWORTH),"      Hello? Hello?
 
",hello hello watch tabl near entranc lumier cogsworth,watch tabl near entranc lumier cogsworth
128,LUMIERE,"      (Barely whispering) Old fellow must have lost his way in the
woods.
",267,(Barely whispering),"        Old fellow must have lost his way in the
woods.
",bare whisper old fellow must lost way wood,bare whisper
129,COGSWORTH,"    (Also whispering) Keep quiet!  Maybe he'll go away.
",269,(Also whispering),"      Keep quiet!  Maybe he'll go away.
",also whisper keep quiet mayb go away,also whisper
130,MAURICE,"      Is someone there?
",270,,      Is someone there? ,someon,
131,COGSWORTH,"    Not a word, Lumiere. Not one word!
",271,,"    Not a word, Lumiere. Not one word! ",not word lumier not one word,
132,MAURICE,"      I don't mean to intrude, but I've lost my horse and I need a
place
              to stay for the night.
",272,,"      I don't mean to intrude, but I've lost my horse and I need a place               to stay for the night. ",mean intrud lost hors need place stay night,
